"nu","bowlingDeliveries","bowlingDots","bowlingFours","bowlingRuns","bowlingSingles","bowlingSixes","dotBalls","fours","playerId","runs","singles","sixes","strikeRate","wickets"
"204","27","11","6","40","8","1","1","0","111","1","1","0","0.5","0"
"205","0","0","0","0","0","0","1","0","3","1","1","0","0.5","0"
"206","12","1","1","14","10","0","1","1","1","4","0","0","2","0"
"207","0","0","0","0","0","0","14","2","6","23","15","0","0.7419354838709677","0"
"208","0","0","0","0","0","0","11","5","114","30","4","1","1.4285714285714286","0"
"209","0","0","0","0","0","0","12","3","9","17","5","0","0.85","0"
"210","7","1","2","16","3","0","4","0","11","2","2","0","0.3333333333333333","0"
"211","28","13","2","23","11","0","4","0","17","3","3","0","0.42857142857142855","1"
"212","6","1","2","11","3","0","3","4","20","43","15","2","1.7916666666666667","0"
"213","19","8","3","25","7","1","3","1","78","14","7","0","1.1666666666666667","0"
"214","25","14","1","14","10","0","6","3","62","18","0","1","1.8","4"
"215","0","0","0","0","0","0","15","5","64","43","18","0","1.1025641025641026","0"
"216","0","0","0","0","0","0","3","0","116","1","1","0","0.25","0"
"217","25","11","2","25","11","1","19","9","94","70","20","1","1.320754716981132","1"
"218","0","0","0","0","0","0","12","11","57","88","23","1","1.6296296296296295","0"
"219","12","0","1","31","7","3","2","3","59","26","6","1","2","0"
"220","0","0","0","0","0","0","12","4","60","50","12","3","1.5151515151515151","0"
"221","6","1","0","10","4","1","1","1","107","6","2","0","1.5","0"
"222","0","0","0","0","0","0","2","0","109","2","2","0","0.5","0"
"223","0","0","0","0","0","0","1","1","108","11","7","0","1.2222222222222223","0"
"224","6","1","3","14","2","0","1","1","49","8","2","0","1.6","0"
"225","24","7","2","24","14","0","3","1","2","6","0","0","1.2","0"
"226","0","0","0","0","0","0","4","3","73","31","5","2","2.066666666666667","0"
"227","0","0","0","0","0","0","4","0","14","10","4","1","1.1111111111111112","0"
"228","24","6","3","39","11","2","10","7","7","61","25","1","1.3863636363636365","2"
"229","0","0","0","0","0","0","8","4","12","40","16","1","1.3333333333333333","0"
"230","0","0","0","0","0","0","3","2","18","32","8","2","1.8823529411764706","0"
"231","0","0","0","0","0","0","2","0","74","6","3","0","1","0"
"232","0","0","0","0","0","0","11","8","76","49","15","0","1.4","0"
"233","0","0","0","0","0","0","4","0","117","8","5","0","0.8","0"
"234","0","0","0","0","0","0","10","10","79","77","15","2","1.8333333333333333","0"
"235","18","3","4","28","10","0","2","1","93","13","3","1","1.8571428571428572","0"
"236","6","1","1","9","3","0","1","0","75","1","1","0","0.5","0"
"237","24","9","3","26","10","0","5","0","82","3","3","0","0.375","1"
"238","24","9","4","33","9","1","1","0","104","1","1","0","0.5","1"
"239","20","4","4","35","9","1","4","0","98","4","4","0","0.5","1"
"240","25","6","5","36","12","0","0","0","84","2","2","0","1","0"
"241","0","0","0","0","0","0","5","0","97","2","2","0","0.2857142857142857","0"
"242","0","0","0","0","0","0","9","11","120","65","13","1","1.8571428571428572","0"
"243","0","0","0","0","0","0","11","3","47","22","4","1","1.1578947368421053","0"
"244","12","3","1","15","6","0","8","6","44","58","12","2","1.7575757575757576","1"
"245","21","10","2","23","7","1","1","0","46","0","0","0","0","2"
"246","0","0","0","0","0","0","2","3","51","36","10","1","1.8","0"
"247","13","2","1","20","8","1","1","0","55","8","6","0","1","1"
"248","26","7","2","32","14","1","0","0","102","4","2","0","1.3333333333333333","3"
"249","0","0","0","0","0","0","0","0","52","1","1","0","1","0"
"250","6","1","3","14","2","0","13","4","1","54","19","2","1.3170731707317074","0"
"251","0","0","0","0","0","0","2","0","123","1","1","0","0.3333333333333333","0"
"252","12","1","4","26","4","0","4","1","9","45","21","2","1.40625","0"
"253","0","0","0","0","0","0","4","1","114","13","7","0","1","0"
"254","0","0","0","0","0","0","1","0","85","1","1","0","0.5","0"
"255","27","6","2","36","14","1","0","0","121","2","2","0","1","4"
"256","0","0","0","0","0","0","9","3","21","23","7","0","1.0952380952380953","0"
"257","0","0","0","0","0","0","7","1","124","16","4","0","1.1428571428571428","0"
"258","0","0","0","0","0","0","12","7","125","55","15","1","1.4473684210526316","0"
"259","0","0","0","0","0","0","8","2","28","33","15","1","1.1785714285714286","0"
"260","25","6","6","41","9","0","7","3","113","28","4","2","1.75","0"
"261","0","0","0","0","0","0","1","0","29","3","3","0","0.75","0"
"262","0","0","0","0","0","0","0","0","34","11","3","1","2.2","0"
"263","0","0","0","0","0","0","11","5","57","50","16","1","1.3513513513513513","0"
"264","12","5","1","21","3","2","13","7","59","76","13","3","1.8095238095238095","1"
"265","0","0","0","0","0","0","5","2","128","27","11","0","1.2272727272727273","0"
"266","0","0","0","0","0","0","7","2","60","19","5","0","1.1176470588235294","0"
"267","0","0","0","0","0","0","13","4","74","48","18","2","1.263157894736842","0"
"268","0","0","0","0","0","0","15","6","117","54","11","2","1.5","0"
"269","0","0","0","0","0","0","7","2","79","19","5","0","1.1176470588235294","0"
"270","6","0","0","21","3","3","2","0","129","0","0","0","0","0"
"271","6","0","2","18","2","1","2","1","75","27","6","2","2.25","0"
"272","12","3","0","19","7","2","2","1","130","8","4","0","1.1428571428571428","1"
"273","0","0","0","0","0","0","5","0","81","8","2","1","1","0"
"274","24","10","7","36","6","0","3","0","83","0","0","0","0","2"
"275","18","9","2","15","7","0","2","0","84","1","1","0","0.3333333333333333","0"
"276","9","1","2","19","5","1","13","6","7","31","5","0","1.24","0"
"277","0","0","0","0","0","0","11","4","131","36","10","1","1.2857142857142858","0"
"278","0","0","0","0","0","0","4","3","12","31","13","1","1.4761904761904763","0"
"279","0","0","0","0","0","0","5","1","10","31","15","2","1.3478260869565217","0"
"280","24","6","0","25","15","1","1","2","16","10","2","0","2","2"
"281","0","0","0","0","0","0","12","5","119","41","13","1","1.28125","0"
"282","18","4","0","35","5","3","6","4","26","18","2","0","1.5","0"
"283","0","0","0","0","0","0","8","5","36","31","9","0","1.3478260869565217","0"
"284","0","0","0","0","0","0","4","2","40","17","3","1","1.7","0"
"285","0","0","0","0","0","0","1","0","87","10","4","1","1.6666666666666667","0"
"286","0","0","0","0","0","0","4","1","30","7","1","0","1","0"
"287","25","15","1","19","7","1","6","3","27","33","17","0","1.1785714285714286","2"
"288","6","2","0","16","0","2","1","3","31","21","1","1","3","0"
"289","18","5","3","28","8","1","7","1","11","13","3","1","1.0833333333333333","1"
"290","0","0","0","0","0","0","5","1","1","10","1","0","1.25","0"
"291","0","0","0","0","0","0","6","1","114","5","1","0","0.625","0"
"292","0","0","0","0","0","0","4","0","20","7","5","0","0.7","0"
"293","18","7","3","27","5","1","15","4","9","72","16","4","1.5319148936170213","2"
"294","0","0","0","0","0","0","7","2","85","59","11","4","1.84375","0"
"295","0","0","0","0","0","0","12","2","133","16","6","0","0.7619047619047619","0"
"296","6","0","0","16","4","2","5","6","62","34","4","1","2.125","0"
"297","12","3","2","15","7","0","8","3","63","35","11","2","1.4583333333333333","1"
"298","0","0","0","0","0","0","9","0","64","23","9","2","1.0952380952380953","0"
"299","18","4","2","29","7","1","2","0","94","2","2","0","0.5","1"
"300","0","0","0","0","0","0","4","0","67","2","2","0","0.3333333333333333","0"
"301","24","15","0","16","6","1","4","2","68","35","7","3","2.0588235294117645","2"
"302","0","0","0","0","0","0","4","1","101","9","5","0","0.9","0"
"303","12","3","1","13","7","0","2","1","134","6","2","0","1.2","0"
"304","6","4","0","2","2","0","4","3","59","40","10","3","2","1"
"305","0","0","0","0","0","0","8","0","57","1","1","0","0.1111111111111111","0"
"306","0","0","0","0","0","0","2","0","60","1","1","0","0.3333333333333333","0"
"307","0","0","0","0","0","0","9","2","128","21","3","1","1.2352941176470589","0"
"308","6","3","1","6","2","0","4","1","107","25","13","0","1.1363636363636365","1"
"309","0","0","0","0","0","0","5","3","109","29","13","0","1.2608695652173914","0"
"310","12","5","0","22","4","3","3","0","49","10","4","1","1.25","1"
"311","25","9","0","22","14","1","2","0","126","3","1","0","0.75","1"
"312","24","10","6","37","7","1","3","0","92","3","1","0","0.6","3"
"313","27","9","4","46","10","3","1","0","91","0","0","0","0","1"
"314","24","10","4","27","9","0","2","0","43","0","0","0","0","0"
"315","0","0","0","0","0","0","1","0","21","0","0","0","0","0"
"316","13","5","1","22","4","2","7","2","125","10","2","0","0.9090909090909091","1"
"317","0","0","0","0","0","0","2","0","124","0","0","0","0","0"
"318","8","2","1","10","4","0","8","2","29","27","15","0","1","0"
"319","0","0","0","0","0","0","9","3","34","16","1","0","1.1428571428571428","0"
"320","0","0","0","0","0","0","6","0","28","1","1","0","0.14285714285714285","0"
"321","10","3","1","14","5","0","13","4","113","42","10","1","1.2727272727272727","0"
"322","0","0","0","0","0","0","1","0","39","0","0","0","0","0"
"323","18","7","5","26","6","0","3","0","35","1","1","0","0.25","0"
"324","26","13","0","20","9","0","3","0","37","0","0","0","0","1"
"325","18","9","3","18","6","0","8","2","127","12","2","0","0.9230769230769231","0"
"326","0","0","0","0","0","0","4","0","14","1","1","0","0.2","0"
"327","0","0","0","0","0","0","1","0","10","0","0","0","0","0"
"328","18","5","2","19","11","0","3","0","7","0","0","0","0","0"
"329","0","0","0","0","0","0","17","5","16","38","16","0","0.9743589743589743","0"
"330","0","0","0","0","0","0","21","9","12","66","16","1","1.2941176470588236","0"
"331","0","0","0","0","0","0","3","1","131","13","2","0","1.625","0"
"332","24","13","2","22","8","1","2","0","2","0","0","0","0","2"
"333","0","0","0","0","0","0","0","1","135","4","0","0","4","0"
"334","27","12","4","30","9","0","1","0","4","0","0","0","0","2"
"335","22","7","5","36","8","1","4","0","103","3","3","0","0.42857142857142855","0"
"336","26","14","1","20","10","1","2","0","111","1","1","0","0.3333333333333333","0"
"337","0","0","0","0","0","0","5","1","21","4","0","0","0.6666666666666666","0"
"338","0","0","0","0","0","0","5","1","136","6","2","0","0.75","0"
"339","0","0","0","0","0","0","9","2","124","16","4","0","0.9411764705882353","0"
"340","0","0","0","0","0","0","4","5","29","32","12","0","1.5238095238095237","0"
"341","0","0","0","0","0","0","4","0","34","1","1","0","0.2","0"
"342","0","0","0","0","0","0","18","2","28","24","8","0","0.75","0"
"343","25","13","3","26","8","1","4","1","113","30","10","2","1.5789473684210527","1"
"344","20","7","4","45","4","3","2","1","39","16","6","1","1.6","0"
"345","18","9","2","15","7","0","2","0","35","15","1","2","2.5","1"
"346","0","0","0","0","0","0","15","6","74","57","10","2","1.5405405405405406","0"
"347","0","0","0","0","0","0","8","1","117","10","0","1","1","0"
"348","19","8","1","24","8","2","18","3","80","38","20","1","0.9047619047619048","1"
"349","0","0","0","0","0","0","7","2","79","23","6","1","1.3529411764705883","0"
"350","18","5","5","28","8","0","2","2","93","20","0","2","3.3333333333333335","1"
"351","0","0","0","0","0","0","5","0","97","5","3","0","0.5555555555555556","0"
"352","0","0","0","0","0","0","13","3","120","42","18","1","1.105263157894737","0"
"353","0","0","0","0","0","0","2","0","44","1","1","0","0.3333333333333333","0"
"354","25","10","3","26","11","0","5","4","46","35","11","1","1.5909090909090908","2"
"355","0","0","0","0","0","0","4","0","47","4","2","0","0.5714285714285714","0"
"356","0","0","0","0","0","0","1","0","51","0","0","0","0","0"
"357","14","5","2","19","4","0","3","1","55","8","4","0","1","1"
"358","23","13","1","13","9","0","3","1","102","6","2","0","1","0"
"359","0","0","0","0","0","0","4","0","52","1","1","0","0.2","0"
"360","18","8","1","24","6","2","2","0","56","1","1","0","0.3333333333333333","0"
"361","19","8","0","22","7","1","1","0","58","0","0","0","0","0"
"362","0","0","0","0","0","0","7","11","57","83","31","1","1.6274509803921569","0"
"363","12","3","2","30","4","3","4","3","59","25","10","0","1.3888888888888888","0"
"364","0","0","0","0","0","0","1","0","128","0","0","0","0","0"
"365","0","0","0","0","0","0","13","6","60","66","24","2","1.375","0"
"366","15","2","3","28","8","1","1","0","107","2","2","0","0.6666666666666666","0"
"367","0","0","0","0","0","0","0","1","109","6","2","0","2","0"
"368","0","0","0","0","0","0","0","1","108","5","1","0","2.5","0"
"369","0","0","0","0","0","0","8","6","125","43","8","1","1.72","0"
"370","0","0","0","0","0","0","7","7","124","47","13","0","1.5666666666666667","0"
"371","0","0","0","0","0","0","10","3","28","35","17","0","1.0606060606060606","0"
"372","0","0","0","0","0","0","1","0","29","1","1","0","0.5","0"
"373","26","7","5","35","13","0","5","2","113","31","5","3","2.066666666666667","2"
"374","6","0","3","15","3","0","1","0","138","9","7","0","1","0"
"375","25","5","3","37","14","1","0","1","35","14","4","1","2.3333333333333335","1"
"376","0","0","0","0","0","0","1","1","34","8","2","0","1.6","0"
"377","0","0","0","0","0","0","3","0","139","2","2","0","0.4","0"
"378","0","0","0","0","0","0","7","2","123","11","3","0","0.9166666666666666","0"
"379","18","10","0","8","8","0","13","2","1","21","6","0","0.9130434782608695","1"
"380","0","0","0","0","0","0","3","1","9","27","5","3","2.25","0"
"381","0","0","0","0","0","0","5","2","140","15","3","0","1.25","0"
"382","6","0","1","15","3","1","3","2","20","12","4","0","1.3333333333333333","0"
"383","12","2","3","25","5","1","4","2","78","17","5","0","1.3076923076923077","1"
"384","0","0","0","0","0","0","2","1","85","17","5","1","1.7","0"
"385","20","6","5","31","7","0","0","0","121","7","1","1","3.5","1"
"386","0","0","0","0","0","0","10","5","141","23","3","0","1.2777777777777777","0"
"387","0","0","0","0","0","0","7","1","70","8","4","0","0.6666666666666666","0"
"388","0","0","0","0","0","0","10","5","18","53","21","1","1.325","0"
"389","0","0","0","0","0","0","2","3","10","31","7","1","1.9375","0"
"390","18","6","3","37","5","3","1","1","2","4","0","0","2","1"
"391","0","0","0","0","0","0","19","9","74","63","19","1","1.2857142857142858","0"
"392","0","0","0","0","0","0","9","2","117","19","7","0","0.95","0"
"393","13","5","0","14","6","1","3","0","80","13","7","1","1.1818181818181819","0"
"394","0","0","0","0","0","0","3","0","79","6","4","0","0.75","0"
"395","12","5","1","11","5","0","2","0","93","1","1","0","0.3333333333333333","0"
"396","12","2","3","20","6","0","4","0","82","3","1","0","0.5","0"
"397","0","0","0","0","0","0","5","1","130","6","2","0","0.75","0"
"398","7","0","2","15","3","0","1","3","75","24","6","1","2.1818181818181817","0"
"399","25","13","3","24","7","0","1","0","84","3","3","0","0.75","1"
"400","26","6","5","47","10","1","0","0","86","2","2","0","1","1"
"401","0","0","0","0","0","0","17","4","97","41","19","0","0.9534883720930233","0"
"402","12","2","1","19","7","1","9","9","44","73","17","2","1.7804878048780488","1"
"403","0","0","0","0","0","0","8","3","18","18","3","0","1.2","0"
"404","0","0","0","0","0","0","9","1","142","20","12","0","0.8333333333333334","0"
"405","0","0","0","0","0","0","1","0","131","0","0","0","0","0"
"406","0","0","0","0","0","0","6","0","12","11","9","0","0.6875","0"
"407","0","0","0","0","0","0","9","2","10","28","7","1","1.3333333333333333","0"
